=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 5262 | Training...
step 5263 | Training...
step 5264 | Training...
step 5265 | Training...
step 5266 | Training...
step 5267 | Training...
step 5268 | Training...
step 5269 | Training...
step 5270 | Training...
step 5271 | Training...
step 5272 | Training...
step 5273 | Training...
step 5274 | Training...
step 5275 | Training...
step 5276 | Training...
step 5277 | Training...
step 5278 | Training...
step 5279 | Training...
step 5280 | Training...
step 5281 | Training...
step 5282 | Training...
step 5283 | Training...
step 5284 | Training...
step 5285 | Training...
step 5286 | Training...
step 5287 | Training...
step 5288 | Training...
step 5289 | Training...
step 5290 | Training...
step 5291 | Training...
step 5292 | Training...
step 5293 | Training...
step 5294 | Training...
step 5295 | Training...
step 5296 | Training...
step 5297 | Training...
step 5298 | Training...
step 5299 | Training...
step 5300 | Training...
step 5301 | Training...
step 5302 | Training...
step 5303 | Training...
step 5304 | Training...
step 5305 | Training...
step 5306 | Training...
step 5307 | Training...
step 5308 | Training...
step 5309 | Training...
step 5310 | Training...
step 5311 | Training...
step 5312 | Training...
step 5313 | Training...
step 5314 | Training...
step 5315 | Training...
step 5316 | Training...
step 5317 | Training...
step 5318 | Training...
step 5319 | Training...
step 5320 | Training...
step 5321 | Training...
step 5322 | Training...
step 5323 | Training...
step 5324 | Training...
step 5325 | Training...
step 5326 | Training...
step 5327 | Training...
step 5328 | Training...
step 5329 | Training...
step 5330 | Training...
step 5331 | Training...
step 5332 | Training...
step 5333 | Training...
step 5334 | Training...
step 5335 | Training...
step 5336 | Training...
step 5337 | Training...
step 5338 | Training...
step 5339 | Training...
step 5340 | Training...
step 5341 | Training...
step 5342 | Training...
step 5343 | Training...
step 5344 | Training...
step 5345 | Training...
step 5346 | Training...
step 5347 | Training...
step 5348 | Training...
step 5349 | Training...
step 5350 | Training...
step 5351 | Training...
step 5352 | Training...
step 5353 | Training...
step 5354 | Training...
step 5355 | Training...
step 5356 | Training...
step 5357 | Training...
step 5358 | Training...
step 5359 | Training...
step 5360 | Training...
step 5361 | Training...
step 5362 | Training...
step 5363 | Training...
step 5364 | Training...
step 5365 | Training...
step 5366 | Training...
step 5367 | Training...
step 5368 | Training...
step 5369 | Training...
step 5370 | Training...
step 5371 | Training...
step 5372 | Training...
step 5373 | Training...
step 5374 | Training...
step 5375 | Training...
step 5376 | Training...
step 5377 | Training...
step 5378 | Training...
step 5379 | Training...
step 5380 | Training...
step 5381 | Training...
step 5382 | Training...
step 5383 | Training...
step 5384 | Training...
step 5385 | Training...
step 5386 | Training...
step 5387 | Training...
step 5388 | Training...
step 5389 | Training...
step 5390 | Training...
step 5391 | Training...
step 5392 | Training...
step 5393 | Training...
step 5394 | Training...
step 5395 | Training...
step 5396 | Training...
step 5397 | Training...
step 5398 | Training...
step 5399 | Training...
step 5400 | Training...
step 5401 | Training...
step 5402 | Training...
step 5403 | Training...
step 5404 | Training...
step 5405 | Training...
step 5406 | Training...
step 5407 | Training...
step 5408 | Training...
step 5409 | Training...
step 5410 | Training...
step 5411 | Training...
step 5412 | Training...
step 5413 | Training...
step 5414 | Training...
step 5415 | Training...
step 5416 | Training...
step 5417 | Training...
step 5418 | Training...
step 5419 | Training...
step 5420 | Training...
step 5421 | Training...
step 5422 | Training...
step 5423 | Training...
step 5424 | Training...
step 5425 | Training...
step 5426 | Training...
step 5427 | Training...
step 5428 | Training...
step 5429 | Training...
step 5430 | Training...
step 5431 | Training...
step 5432 | Training...
step 5433 | Training...
step 5434 | Training...
step 5435 | Training...
step 5436 | Training...
step 5437 | Training...
step 5438 | Training...
step 5439 | Training...
step 5440 | Training...
step 5441 | Training...
step 5442 | Training...
step 5443 | Training...
step 5444 | Training...
step 5445 | Training...
step 5446 | Training...
step 5447 | Training...
step 5448 | Training...
step 5449 | Training...
step 5450 | Training...
step 5451 | Training...
step 5452 | Training...
step 5453 | Training...
step 5454 | Training...
step 5455 | Training...
step 5456 | Training...
step 5457 | Training...
step 5458 | Training...
step 5459 | Training...
step 5460 | Training...
step 5461 | Training...
step 5462 | Training...
step 5463 | Training...
step 5464 | Training...
step 5465 | Training...
step 5466 | Training...
step 5467 | Training...
step 5468 | Training...
step 5469 | Training...
step 5470 | Training...
step 5471 | Training...
step 5472 | Training...
step 5473 | Training...
step 5474 | Training...
step 5475 | Training...
step 5476 | Training...
step 5477 | Training...
step 5478 | Training...
step 5479 | Training...
step 5480 | Training...
step 5481 | Training...
step 5482 | Training...
step 5483 | Training...
step 5484 | Training...
step 5485 | Training...
step 5486 | Training...
step 5487 | Training...
step 5488 | Training...
step 5489 | Training...
step 5490 | Training...
step 5491 | Training...
step 5492 | Training...
step 5493 | Training...
step 5494 | Training...
step 5495 | Training...
step 5496 | Training...
step 5497 | Training...
step 5498 | Training...
step 5499 | Training...
step 5500 | Training...
step 5501 | Training...
step 5502 | Training...
step 5503 | Training...
step 5504 | Training...
step 5505 | Training...
step 5506 | Training...
step 5507 | Training...
step 5508 | Training...
step 5509 | Training...
step 5510 | Training...
step 5511 | Training...
step 5512 | Training...
step 5513 | Training...
step 5514 | Training...
step 5515 | Training...
step 5516 | Training...
step 5517 | Training...
step 5518 | Training...
step 5519 | Training...
step 5520 | Training...
step 5521 | Training...
step 5522 | Training...
step 5523 | Training...
step 5524 | Training...
step 5525 | Training...
step 5526 | Training...
step 5527 | Training...
step 5528 | Training...
step 5529 | Training...
step 5530 | Training...
step 5531 | Training...
step 5532 | Training...
step 5533 | Training...
step 5534 | Training...
step 5535 | Training...
step 5536 | Training...
step 5537 | Training...
step 5538 | Training...
step 5539 | Training...
step 5540 | Training...
step 5541 | Training...
step 5542 | Training...
step 5543 | Training...
step 5544 | Training...
step 5545 | Training...
step 5546 | Training...
step 5547 | Training...
step 5548 | Training...
step 5549 | Training...
step 5550 | Training...
step 5551 | Training...
step 5552 | Training...
step 5553 | Training...
step 5554 | Training...
step 5555 | Training...
step 5556 | Training...
step 5557 | Training...
step 5558 | Training...
step 5559 | Training...
step 5560 | Training...
step 5561 | Training...
step 5562 | Training...
step 5563 | Training...
step 5564 | Training...
step 5565 | Training...
step 5566 | Training...
step 5567 | Training...
step 5568 | Training...
step 5569 | Training...
step 5570 | Training...
step 5571 | Training...
step 5572 | Training...
step 5573 | Training...
step 5574 | Training...
step 5575 | Training...
step 5576 | Training...
step 5577 | Training...
step 5578 | Training...
step 5579 | Training...
step 5580 | Training...
step 5581 | Training...
step 5582 | Training...
step 5583 | Training...
step 5584 | Training...
step 5585 | Training...
step 5586 | Training...
step 5587 | Training...
step 5588 | Training...
step 5589 | Training...
step 5590 | Training...
step 5591 | Training...
step 5592 | Training...
step 5593 | Training...
step 5594 | Training...
step 5595 | Training...
step 5596 | Training...
step 5597 | Training...
step 5598 | Training...
step 5599 | Training...
step 5600 | Training...
step 5601 | Training...
step 5602 | Training...
step 5603 | Training...
step 5604 | Training...
step 5605 | Training...
step 5606 | Training...
step 5607 | Training...
step 5608 | Training...
step 5609 | Training...
step 5610 | Training...
step 5611 | Training...
step 5612 | Training...
step 5613 | Training...
step 5614 | Training...
step 5615 | Training...
step 5616 | Training...
step 5617 | Training...
step 5618 | Training...
step 5619 | Training...
step 5620 | Training...
step 5621 | Training...
step 5622 | Training...
step 5623 | Training...
step 5624 | Training...
step 5625 | Training...
step 5626 | Training...
step 5627 | Training...
step 5628 | Training...
step 5629 | Training...
step 5630 | Training...
step 5631 | Training...
step 5632 | Training...
step 5633 | Training...
step 5634 | Training...
step 5635 | Training...
step 5636 | Training...
step 5637 | Training...
step 5638 | Training...
step 5639 | Training...
step 5640 | Training...
step 5641 | Training...
step 5642 | Training...
step 5643 | Training...
step 5644 | Training...
step 5645 | Training...
step 5646 | Training...
step 5647 | Training...
step 5648 | Training...
step 5649 | Training...
step 5650 | Training...
step 5651 | Training...
step 5652 | Training...
step 5653 | Training...
step 5654 | Training...
step 5655 | Training...
step 5656 | Training...
step 5657 | Training...
step 5658 | Training...
step 5659 | Training...
step 5660 | Training...
step 5661 | Training...
step 5662 | Training...
step 5663 | Training...
step 5664 | Training...
step 5665 | Training...
step 5666 | Training...
step 5667 | Training...
step 5668 | Training...
step 5669 | Training...
step 5670 | Training...
step 5671 | Training...
step 5672 | Training...
step 5673 | Training...
step 5674 | Training...
step 5675 | Training...
step 5676 | Training...
step 5677 | Training...
step 5678 | Training...
step 5679 | Training...
step 5680 | Training...
step 5681 | Training...
step 5682 | Training...
step 5683 | Training...
step 5684 | Training...
step 5685 | Training...
step 5686 | Training...
step 5687 | Training...
step 5688 | Training...
step 5689 | Training...
step 5690 | Training...
step 5691 | Training...
step 5692 | Training...
step 5693 | Training...
step 5694 | Training...
step 5695 | Training...
step 5696 | Training...
step 5697 | Training...
step 5698 | Training...
step 5699 | Training...
step 5700 | Training...
step 5701 | Training...
step 5702 | Training...
step 5703 | Training...
step 5704 | Training...
step 5705 | Training...
step 5706 | Training...
step 5707 | Training...
step 5708 | Training...
step 5709 | Training...
step 5710 | Training...
step 5711 | Training...
step 5712 | Training...
step 5713 | Training...
step 5714 | Training...
step 5715 | Training...
step 5716 | Training...
step 5717 | Training...
step 5718 | Training...
step 5719 | Training...
step 5720 | Training...
step 5721 | Training...
step 5722 | Training...
step 5723 | Training...
step 5724 | Training...
step 5725 | Training...
step 5726 | Training...
step 5727 | Training...
step 5728 | Training...
step 5729 | Training...
step 5730 | Training...
step 5731 | Training...
step 5732 | Training...
step 5733 | Training...
step 5734 | Training...
step 5735 | Training...
step 5736 | Training...
step 5737 | Training...
step 5738 | Training...
step 5739 | Training...
step 5740 | Training...
